year,ai_type,n,layer,source,_note
2019,agentic_ai,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2019,llm,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2019,generative_ai,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2019,conversational,12,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2019,xai,20,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2019,classical_ml,0,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2019,unclassified,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,agentic_ai,5,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,llm,11,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,generative_ai,7,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,conversational,11,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,xai,14,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,classical_ml,3,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2020,unclassified,6,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,agentic_ai,14,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,llm,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,generative_ai,12,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,conversational,11,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,xai,22,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,classical_ml,4,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2021,unclassified,8,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,agentic_ai,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,llm,16,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,generative_ai,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,conversational,5,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,xai,13,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,classical_ml,1,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2022,unclassified,23,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,agentic_ai,20,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,llm,17,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,generative_ai,21,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,conversational,4,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,xai,13,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,classical_ml,5,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2023,unclassified,11,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,agentic_ai,24,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,llm,30,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,generative_ai,25,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,conversational,13,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,xai,16,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,classical_ml,2,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2024,unclassified,16,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,agentic_ai,35,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,llm,29,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,generative_ai,24,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,conversational,10,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,xai,13,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,classical_ml,2,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
2025,unclassified,12,A,OpenAlex,Run pipeline to populate with real records. This is schema + aggregate summary.
